iso_code,population
ES-A,NA
ES-AB,390032
ES-AL,699329
ES-AN,8409738
ES-AR,1324397
ES-AS,1028244
ES-AV,158265
ES-B,5664579
ES-BA,676376
ES-BI,1149628
ES-BU,356119
ES-C,1121484
ES-CA,1180817
ES-CB,580229
ES-CC,NA
ES-CE,84777
ES-CL,2418694
ES-CM,2106331
ES-CN,2127685
ES-CO,784736
ES-CR,495761
ES-CS,NA
ES-CT,7619494
ES-CU,198718
ES-EX,1067710
ES-GA,2703290
ES-GC,NA
ES-GI,755716
ES-GR,914678
ES-GU,254308
ES-HU,219301
ES-IB,1150839
ES-J,654170
ES-L,428418
ES-LE,466030
ES-LO,315675
ES-LU,331507
ES-M,6661949
ES-MA,1630615
ES-MC,1478509
ES-MD,6661949
ES-ML,86487
ES-MU,NA
ES-NA,647554
ES-NC,647554
ES-O,NA
ES-OR,309372
ES-P,161821
ES-PM,1150839
ES-PO,940927
ES-PV,2167707
ES-RI,315675
ES-S,580229
ES-SA,333603
ES-SE,1939887
ES-SG,154041
ES-SO,NA
ES-SS,719282
ES-T,792256
ES-TF,1018510
ES-TO,687391
ES-V,NA
ES-VA,520801
ES-VC,5003769
ES-VI,328868
ES-Z,968149
ES-ZA,174544
