"FIPS","Unemployment","State"
"01001",5.3,"01"
"01003",5.4,"01"
"01005",8.6,"01"
"01007",6.6,"01"
"01009",5.5,"01"
"01011",7.2,"01"
"01013",7.1,"01"
"01015",6.7,"01"
"01017",5.5,"01"
"01019",5.2,"01"
"01021",5.6,"01"
"01023",8.9,"01"
"01025",11.1,"01"
"01027",6.2,"01"
"01029",6.1,"01"
"01031",6.1,"01"
"01033",7,"01"
"01035",8.6,"01"
"01037",6.1,"01"
"01039",7,"01"
"01041",6,"01"
"01043",5.1,"01"
"01045",5.9,"01"
"01047",9.4,"01"
"01049",6.2,"01"
"01051",4.9,"01"
"01053",6.7,"01"
"01055",6,"01"
"01057",7,"01"
"01059",6.1,"01"
"01061",5.9,"01"
"01063",10.1,"01"
"01065",7.8,"01"
"01067",6.6,"01"
"01069",5.9,"01"
"01071",6.4,"01"
"01073",5.9,"01"
"01075",5.7,"01"
"01077",6.4,"01"
"01079",7,"01"
"01081",5.3,"01"
"01083",5.3,"01"
"01085",10.8,"01"
"01087",7.7,"01"
"01089",5.2,"01"
"01091",7.4,"01"
"01093",6.7,"01"
"01095",5.5,"01"
"01097",6.9,"01"
"01099",9.4,"01"
"01101",5.9,"01"
"01103",5.6,"01"
"01105",10.6,"01"
"01107",6.9,"01"
"01109",6.4,"01"
"01111",5.7,"01"
"01113",5.6,"01"
"01115",5.3,"01"
"01117",4.4,"01"
"01119",7.8,"01"
"01121",6.8,"01"
"01123",5.6,"01"
"01125",5.8,"01"
"01127",7.6,"01"
"01129",8.7,"01"
"01131",14.7,"01"
"01133",7.3,"01"
"02013",2.7,"02"
"02016",3.3,"02"
"02020",5.3,"02"
"02050",14.1,"02"
"02060",6.9,"02"
"02068",8.6,"02"
"02070",9.7,"02"
"02090",5.7,"02"
"02100",9.8,"02"
"02105",11.5,"02"
"02110",4.4,"02"
"02122",8.2,"02"
"02130",6.2,"02"
"02150",5,"02"
"02158",21.3,"02"
"02164",12.3,"02"
"02170",8.1,"02"
"02180",12.5,"02"
"02185",6.5,"02"
"02188",15.7,"02"
"02195",8.6,"02"
"02198",11.7,"02"
"02220",4.3,"02"
